ecole,filiere,prompt_programme
ESTEAI - Ecole Superieure des Techniques Electroniques Audiovisuelles et Informatiques,"informatique, réseaux et numérique","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de ESTEAI, établissement situé à Abidjan qui forme des étudiants en informatique, réseaux et numérique.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un rapport de projet ou une documentation technique écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à informatique, réseaux et numérique, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Vos étudiants du numérique sont les plus exposés : beaucoup produisent déjà du code écrit par une IA. La séance porte précisément là-dessus — livrer du code que l'on est capable de relire, d'expliquer et de défendre devant un jury ou un employeur, et non l'inverse.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
INFAS Institut National de Formation des Agents de Sante,santé et paramédical,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de INFAS Institut National de Formation des Agents de Santé, établissement situé à Abidjan qui forme des étudiants en santé et paramédical.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un mémoire de fin de cycle ou un rapport de stage clinique écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à santé et paramédical, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Dans une filière de santé, la limite est capitale et la séance la traite explicitement : une information clinique produite par une intelligence artificielle se vérifie toujours avant d'être reprise dans un travail ou appliquée à un patient.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
ETEP Abobo - Ecole Technique et Professionnelle,ingénierie et sciences techniques,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de ETEP Abobo, établissement situé à Abidjan - Abobo qui forme des étudiants en ingénierie et sciences techniques.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un rapport de projet ou une note technique écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à ingénierie et sciences techniques, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour vos filières d'ingénierie, la séance sépare nettement ce que l'IA fait bien — structurer, rédiger, chercher — de ce qu'elle fait mal, à commencer par tout calcul qu'un étudiant reprendrait sans le refaire.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
ETIC Abobo - Ecole Technique Informatique et Commerciale,"informatique, réseaux et numérique","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de ETIC Abobo, établissement situé à Abidjan - Abobo qui forme des étudiants en informatique, réseaux et numérique.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un rapport de projet ou une documentation technique écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à informatique, réseaux et numérique, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Vos étudiants du numérique sont les plus exposés : beaucoup produisent déjà du code écrit par une IA. La séance porte précisément là-dessus — livrer du code que l'on est capable de relire, d'expliquer et de défendre devant un jury ou un employeur, et non l'inverse.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
GESTPCI - Groupe d'Enseignement Superieur Technique et Professionnel de Cote d'Ivoire,ingénierie et sciences techniques,"Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de GESTPCI, établissement situé à Abidjan - Abobo qui forme des étudiants en ingénierie et sciences techniques.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un rapport de projet ou une note technique écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à ingénierie et sciences techniques, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour vos filières d'ingénierie, la séance sépare nettement ce que l'IA fait bien — structurer, rédiger, chercher — de ce qu'elle fait mal, à commencer par tout calcul qu'un étudiant reprendrait sans le refaire.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Groupe HETEC,"informatique, réseaux et numérique","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de Groupe HETEC, établissement situé à Abidjan - Abobo Plateau Dokui qui forme des étudiants en informatique, réseaux et numérique.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un rapport de projet ou une documentation technique écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à informatique, réseaux et numérique, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Vos étudiants du numérique sont les plus exposés : beaucoup produisent déjà du code écrit par une IA. La séance porte précisément là-dessus — livrer du code que l'on est capable de relire, d'expliquer et de défendre devant un jury ou un employeur, et non l'inverse.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
ISFCG - Institut Superieur de Formation en Commerce et Gestion d'Abidjan,"commerce, gestion et finance","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de ISFCG, établissement situé à Abidjan - Adjame qui forme des étudiants en commerce, gestion et finance.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà une étude de marché, un business plan ou un rapport de stage écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à commerce, gestion et finance, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour vos filières commerce et gestion, la séance va au concret : construire une étude de marché, une proposition commerciale ou un tableau de bord avec l'IA, et reconnaître les chiffres qu'elle invente.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
ISFMI - Institut Superieur de Formation aux Metiers de l'Informatique,"informatique, réseaux et numérique","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de ISFMI, établissement situé à Abidjan - Adjame Roxy qui forme des étudiants en informatique, réseaux et numérique.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un rapport de projet ou une documentation technique écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à informatique, réseaux et numérique, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Vos étudiants du numérique sont les plus exposés : beaucoup produisent déjà du code écrit par une IA. La séance porte précisément là-dessus — livrer du code que l'on est capable de relire, d'expliquer et de défendre devant un jury ou un employeur, et non l'inverse.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
Groupe HEC Abidjan,"commerce, gestion et finance","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de Groupe HEC Abidjan, établissement situé à Abidjan - Cocody qui forme des étudiants en commerce, gestion et finance.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà une étude de marché, un business plan ou un rapport de stage écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à commerce, gestion et finance, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour vos filières commerce et gestion, la séance va au concret : construire une étude de marché, une proposition commerciale ou un tableau de bord avec l'IA, et reconnaître les chiffres qu'elle invente.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
INSAAC (Institut National Superieur des Arts et de l'Action Culturelle),"communication, arts et création","Tu es responsable pédagogique chez BIG RÉUSSITE, organisme de formation basé à Abidjan. Rédige le programme d'une séance de formation, destiné à être lu par le Directeur des Études de INSAAC, établissement situé à Abidjan - Cocody qui forme des étudiants en communication, arts et création.

FORMAT, à respecter strictement : une seule page, 400 mots maximum titres compris. Un titre, puis 5 blocs : Le constat, L'objectif, Le déroulé, Ce que repart avec chaque étudiant, Conditions pratiques. Le déroulé est un tableau minuté de 7 séquences, durées en minutes, total exactement 120. Ton professionnel et direct, aucune formule creuse, aucun superlatif, aucun emoji.

FOND : le constat part d'un fait que le lecteur vérifie lui-même dans son établissement, ses étudiants rendent déjà un dossier de production ou un mémoire écrit en partie par une IA sans qu'aucune règle d'usage ne leur ait été donnée. N'invente aucun chiffre, aucune étude, aucun pourcentage. Le déroulé couvre : ce qu'est réellement l'IA, une démonstration en direct, un atelier où chaque étudiant manipule sur son propre téléphone, les cas d'usage propres à communication, arts et création, les 5 pièges (hallucination, plagiat, dépendance, données personnelles, triche), l'IA face à un recruteur, la remise des attestations. L'atelier pratique est la séquence la plus longue. Pour vos filières communication et création, la séance traite l'IA comme un outil de production — écriture, recherche d'angle, déclinaison de formats — et pose la question des droits et du crédit, que vos étudiants rencontreront dès leur premier employeur.

CONDITIONS PRATIQUES : une salle, un vidéoprojecteur, une prise. Les étudiants utilisent leur propre téléphone, aucune salle informatique nécessaire. Effectif conseillé 20 à 60.

INTERDITS : ne mentionne aucun prix, aucun tarif, aucune durée d'engagement."
